p BER FER BLER BER_EXP FER_EXP BLER_EXP n L f users_err frame_err block_err users_err_exp frame_err_exp block_err_exp
0.453750 0.000173733 0.00128 0.0005412 0.000173731 0.00123 0.0005402 50000 50 200000 1737333 256 5412 1737313 246 5402
0.455000 0.000306239 0.00219 0.0009535 0.000306238 0.00216 0.0009529 50000 50 200000 3062390 438 9535 3062378 432 9529
0.456250 0.000516447 0.00364 0.0015931 0.000516445 0.003585 0.001592 50000 50 200000 5164471 728 15931 5164449 717 15920
0.457500 0.000931713 0.006045 0.0028289 0.000931711 0.006005 0.0028281 50000 50 200000 9317127 1209 28289 9317111 1201 28281
0.458750 0.00154233 0.01003 0.0046803 0.00154233 0.009975 0.0046792 50000 50 200000 15423324 2006 46803 15423302 1995 46792
0.460000 0.00251924 0.016195 0.007603 0.00251924 0.016115 0.0076014 50000 50 200000 25192433 3239 76030 25192401 3223 76014
0.461250 0.00393821 0.02522 0.0118628 0.0039382 0.025175 0.0118619 50000 50 200000 39382063 5044 118628 39382045 5035 118619
0.462500 0.00643178 0.04035 0.0192423 0.00643178 0.04028 0.0192409 50000 50 200000 64317838 8070 192423 64317810 8056 192409
0.463750 0.00964596 0.060235 0.0287826 0.00964596 0.06019 0.0287817 50000 50 200000 96459621 12047 287826 96459603 12038 287817
0.465000 0.0150972 0.091555 0.0446756 0.0150972 0.0914844 0.0446741 50000 50 198296 149686039 18155 442950 149686009 18141 442935
0.466250 0.0222093 0.132807 0.0655152 0.0222093 0.132748 0.065514 50000 50 150594 167229091 20000 493310 167229073 19991 493301
0.467500 0.0331397 0.194141 0.0972543 0.0331397 0.194112 0.0972537 50000 50 103018 170699505 20000 500947 170699499 19997 500944
0.468750 0.0477381 0.272057 0.139401 0.0477381 0.272043 0.139401 50000 50 73514 175471071 20000 512398 175471067 19999 512396
0.470000 0.0673284 0.373288 0.195609 0.0673284 0.373232 0.195608 50000 50 53578 180366061 20000 524017 180366055 19997 524014
0.471250 0.0910546 0.486855 0.262566 0.0910546 0.486758 0.262564 50000 50 41080 187026178 20000 539311 187026170 19996 539307
0.472500 0.12132 0.614232 0.346359 0.12132 0.614232 0.346359 50000 50 32561 197515118 20000 563889 197515118 20000 563889
0.473750 0.153697 0.735998 0.434136 0.153697 0.735998 0.434136 50000 50 27174 208827470 20000 589860 208827470 20000 589860
0.475000 0.187514 0.837661 0.522453 0.187514 0.837661 0.522453 50000 50 23876 223853670 20000 623704 223853670 20000 623704
