p BER FER BLER BER_EXP FER_EXP BLER_EXP n L f users_err frame_err block_err users_err_exp frame_err_exp block_err_exp
0.448750 3e-09 7.5e-05 1.5e-06 0 0 0 50000 50 200000 30 15 15 0 0 0
0.450000 2.2e-09 5.5e-05 1.1e-06 0 0 0 50000 50 200000 22 11 11 0 0 0
0.451250 2.6e-09 6.5e-05 1.3e-06 0 0 0 50000 50 200000 26 13 13 0 0 0
0.452500 2.009e-06 7e-05 7.3e-06 2.0066e-06 1e-05 6.1e-06 50000 50 200000 20090 14 73 20066 2 61
0.453750 8e-10 2e-05 4e-07 0 0 0 50000 50 200000 8 4 4 0 0 0
0.455000 8.356e-07 0.0001 4.4e-06 8.318e-07 5e-06 2.5e-06 50000 50 200000 8356 20 44 8318 1 25
0.456250 2.528e-06 7e-05 9e-06 2.5258e-06 1.5e-05 7.9e-06 50000 50 200000 25280 14 90 25258 3 79
0.457500 5.2957e-06 7e-05 1.67e-05 5.2939e-06 2.5e-05 1.58e-05 50000 50 200000 52957 14 167 52939 5 158
0.458750 4.7957e-06 9e-05 1.76e-05 4.7939e-06 4.5e-05 1.67e-05 50000 50 200000 47957 18 176 47939 9 167
0.460000 2.86099e-05 0.000266667 9.52e-05 2.8608e-05 0.00022 9.42667e-05 50000 50 300000 429148 80 1428 429120 66 1414
0.461250 6.3031e-05 0.00068 0.000226 6.3029e-05 0.00063 0.000225 50000 50 100000 315155 68 1130 315145 63 1125
0.462500 0.000184451 0.00206 0.0006808 0.00018445 0.00202 0.00068 50000 50 100000 922256 206 3404 922248 202 3400
0.463750 0.000453779 0.005 0.0016762 0.000453778 0.00497 0.0016756 50000 50 100000 2268895 500 8381 2268889 497 8378
0.465000 0.00106696 0.0122152 0.00398556 0.00106696 0.0121542 0.00398434 50000 50 98320 5245170 1201 19593 5245158 1195 19587
0.466250 0.00237562 0.0268387 0.00882313 0.00237562 0.0267553 0.00882146 50000 50 71911 8541662 1930 31724 8541650 1924 31718
0.467500 0.00535949 0.054799 0.0191561 0.00535949 0.054799 0.0191561 50000 50 36497 9780263 2000 34957 9780263 2000 34957
0.468750 0.0102868 0.0993986 0.0358859 0.0102868 0.0993489 0.0358849 50000 50 20121 10349074 2000 36103 10349072 1999 36102
0.470000 0.0171674 0.155715 0.0583712 0.0171674 0.155715 0.0583712 50000 50 12844 11024919 2000 37486 11024919 2000 37486
0.471250 0.0313045 0.257832 0.102898 0.0313045 0.257574 0.102893 50000 50 7757 12141461 2000 39909 12141457 1998 39907
0.472500 0.0490326 0.3663 0.155982 0.0490326 0.3663 0.155982 50000 50 5460 13385900 2000 42583 13385900 2000 42583
0.473750 0.0709086 0.48158 0.218863 0.0709086 0.48158 0.218863 50000 50 4153 14724179 2000 45447 14724179 2000 45447
0.475000 0.0987143 0.621891 0.297388 0.0987143 0.621891 0.297388 50000 50 3216 15873259 2000 47820 15873259 2000 47820
0.476250 0.13461 0.73692 0.390398 0.13461 0.73692 0.390398 50000 50 2714 18266545 2000 52977 18266545 2000 52977
0.477500 0.167201 0.841043 0.473751 0.167201 0.841043 0.473751 50000 50 2378 19880217 2000 56329 19880217 2000 56329
0.478750 0.199782 0.911993 0.552221 0.199782 0.911993 0.552221 50000 50 2193 21906073 2000 60551 21906073 2000 60551
0.480000 0.231102 0.959693 0.624568 0.231102 0.959693 0.624568 50000 50 2084 24080832 2000 65080 24080832 2000 65080
0.481250 0.258994 0.98668 0.686838 0.258994 0.98668 0.686838 50000 50 2027 26249052 2000 69611 26249052 2000 69611
0.482500 0.286842 0.995025 0.745353 0.286842 0.995025 0.745353 50000 50 2010 28827576 2000 74908 28827576 2000 74908
0.483750 0.304253 0.998502 0.780519 0.304253 0.998502 0.780519 50000 50 2003 30470901 2000 78169 30470901 2000 78169
0.485000 0.325664 0.998502 0.823585 0.325664 0.998502 0.823585 50000 50 2003 32615210 2000 82482 32615210 2000 82482
