p BER FER BLER BER_EXP FER_EXP BLER_EXP n L f users_err frame_err block_err users_err_exp frame_err_exp block_err_exp
0.453750 0.000206579 0.001385 0.0006343 0.000206576 0.00131 0.0006328 50000 50 200000 2065793 277 6343 2065763 262 6328
0.455000 0.000355332 0.00241 0.0010969 0.000355331 0.002375 0.0010962 50000 50 200000 3553323 482 10969 3553309 475 10962
0.456250 0.000666713 0.00435 0.0020376 0.000666711 0.004305 0.0020367 50000 50 200000 6667131 870 20376 6667113 861 20367
0.457500 0.00108592 0.007245 0.0033374 0.00108592 0.00719 0.0033363 50000 50 200000 10859173 1449 33374 10859151 1438 33363
0.458750 0.00202005 0.013605 0.0062428 0.00202005 0.01351 0.0062409 50000 50 200000 20200507 2721 62428 20200469 2702 62409
0.460000 0.00348549 0.02368 0.0108313 0.00348549 0.02361 0.0108299 50000 50 200000 34854897 4736 108313 34854869 4722 108299
0.461250 0.00602521 0.0428 0.0189767 0.00602521 0.042775 0.0189762 50000 50 200000 60252140 8560 189767 60252130 8555 189762
0.462500 0.0108951 0.0788089 0.0346445 0.0108951 0.0787639 0.0346436 50000 50 199990 108945219 15761 346428 108945201 15752 346419
0.463750 0.0186881 0.138502 0.060077 0.0186881 0.138475 0.0600763 50000 50 144402 134930102 20000 433762 134930092 19996 433757
0.465000 0.030316 0.228035 0.0983431 0.030316 0.227989 0.0983422 50000 50 87706 132944918 20000 431264 132944910 19996 431260
0.466250 0.04954 0.354352 0.158892 0.04954 0.354299 0.15889 50000 50 56441 139804313 20000 448401 139804303 19997 448396
0.467500 0.0741116 0.512847 0.236625 0.0741116 0.51277 0.236624 50000 50 38998 144510286 20000 461396 144510280 19997 461393
0.468750 0.103906 0.663086 0.325203 0.103906 0.663086 0.325202 50000 50 30162 156700437 20000 490438 156700435 20000 490437
0.470000 0.138588 0.799009 0.422316 0.138588 0.799009 0.422315 50000 50 25031 173449231 20000 528549 173449229 20000 528548
0.471250 0.173895 0.899078 0.515455 0.173895 0.899078 0.515455 50000 50 22245 193414408 20000 573315 193414408 20000 573315
0.472500 0.206511 0.959647 0.595482 0.206511 0.959647 0.595482 50000 50 20841 215194878 20000 620522 215194878 20000 620522
0.473750 0.232883 0.9843 0.655629 0.232883 0.9843 0.655629 50000 50 20319 236597726 20000 666086 236597726 20000 666086
0.475000 0.256302 0.994184 0.705597 0.256302 0.994184 0.705597 50000 50 20117 257800952 20000 709725 257800952 20000 709725
