# epsilon fer_350it fer_300it fer_250it fer_200it fer_175it
4.699999999999999734e-01 5.523720015625854796e-02 9.536094026202257545e-02 1.865885048449522632e-01 2.778160694278820619e-01 1.000000000000000000e+00
4.703030303030302783e-01 6.347119760392139209e-02 1.120076508609967325e-01 2.066262168008564659e-01 3.012447827407159773e-01 1.000000000000000000e+00
4.706060606060605833e-01 7.267783409670558470e-02 1.301547162239282684e-01 2.279654155651117398e-01 3.257761149062952111e-01 1.000000000000000000e+00
4.709090909090908883e-01 8.292707181948155704e-02 1.498225217648653240e-01 2.505892591788547730e-01 3.513559965928441109e-01 1.000000000000000000e+00
4.712121212121211933e-01 9.428644235131600215e-02 1.710166179767078631e-01 2.744663124155881651e-01 3.779160068544684670e-01 1.000000000000000000e+00
4.715151515151514983e-01 1.068196056848393916e-01 1.937262230509277927e-01 2.995496932251578981e-01 4.053731633993877814e-01 1.000000000000000000e+00
4.718181818181818032e-01 1.205847965390623999e-01 2.179229207359002496e-01 3.257764537863860888e-01 4.336299868368719279e-01 1.000000000000000000e+00
4.721212121212121082e-01 1.356331850944808570e-01 2.435596100158071708e-01 3.530672382512239915e-01 4.625748664866405901e-01 1.000000000000000000e+00
4.724242424242424132e-01 1.601153310202614310e-01 2.708718247577497351e-01 3.816283184952380392e-01 4.923848122327263432e-01 1.000000000000000000e+00
4.727272727272727182e-01 1.880532021667088438e-01 2.996277679284096163e-01 4.112023336901104997e-01 1.000000000000000000e+00 1.000000000000000000e+00
4.730303030303030232e-01 2.176257995399855094e-01 3.295664526281646411e-01 4.415071057163437729e-01 1.000000000000000000e+00 1.000000000000000000e+00
4.733333333333333282e-01 2.487180480158143192e-01 3.605566074416528544e-01 4.723951668674912785e-01 1.000000000000000000e+00 1.000000000000000000e+00
4.736363636363636331e-01 2.811619048966611523e-01 3.924202345027489880e-01 5.036785641088369347e-01 1.000000000000000000e+00 1.000000000000000000e+00
4.739393939393939381e-01 3.148225917560486531e-01 4.250180596416057721e-01 5.352135275271628911e-01 1.000000000000000000e+00 1.000000000000000000e+00
4.742424242424242431e-01 3.495170160238352253e-01 4.581686359418031262e-01 5.668202558597709162e-01 1.000000000000000000e+00 1.000000000000000000e+00
4.745454545454545481e-01 3.850429604074626644e-01 4.916779260195692780e-01 5.983128916316758916e-01 1.000000000000000000e+00 1.000000000000000000e+00
4.748484848484848531e-01 4.211818694724117629e-01 5.253421618525531134e-01 6.295024542326944639e-01 1.000000000000000000e+00 1.000000000000000000e+00
4.751515151515151580e-01 4.577021480403453690e-01 5.589510655140317308e-01 6.601999829877183146e-01 1.000000000000000000e+00 1.000000000000000000e+00
4.754545454545454630e-01 4.943629046136746030e-01 5.922913590887667334e-01 6.902198135638589749e-01 1.000000000000000000e+00 1.000000000000000000e+00
4.757575757575757680e-01 5.309180540985189989e-01 6.251504780442259657e-01 7.193829019899329325e-01 1.000000000000000000e+00 1.000000000000000000e+00
4.760606060606060730e-01 5.671206773658641342e-01 6.573203907959106473e-01 7.475201042259571604e-01 1.000000000000000000e+00 1.000000000000000000e+00
4.763636363636363225e-01 6.027275215335876624e-01 6.886014187995344038e-01 7.744753160654812563e-01 1.000000000000000000e+00 1.000000000000000000e+00
