p BER FER BLER BER_EXP FER_EXP BLER_EXP n L f users_err frame_err block_err users_err_exp frame_err_exp block_err_exp
0.453750 0.000172042 0.001185 0.0005298 0.00017204 0.00113 0.0005287 50000 50 200000 1720420 237 5298 1720398 226 5287
0.455000 0.000310751 0.002185 0.0009656 0.000310749 0.002135 0.0009646 50000 50 200000 3107506 437 9656 3107486 427 9646
0.456250 0.000538667 0.00367 0.0016575 0.000538665 0.003625 0.0016566 50000 50 200000 5386667 734 16575 5386649 725 16566
0.457500 0.000985227 0.00636 0.0029961 0.000985224 0.00631 0.0029951 50000 50 200000 9852265 1272 29961 9852245 1262 29951
0.458750 0.00161977 0.01053 0.0049246 0.00161977 0.010495 0.0049239 50000 50 200000 16197715 2106 49246 16197701 2099 49239
0.460000 0.00257517 0.016465 0.0077774 0.00257516 0.01643 0.0077767 50000 50 200000 25751662 3293 77774 25751648 3286 77767
0.461250 0.00418091 0.02605 0.0125327 0.0041809 0.02599 0.0125315 50000 50 200000 41809070 5210 125327 41809046 5198 125315
0.462500 0.00676547 0.04257 0.0203054 0.00676547 0.042525 0.0203044 50000 50 200000 67654724 8514 203054 67654704 8505 203044
0.463750 0.0104554 0.06483 0.0312265 0.0104554 0.064755 0.031225 50000 50 200000 104553587 12966 312265 104553557 12951 312250
0.465000 0.0164566 0.100667 0.0489922 0.0164566 0.100621 0.0489912 50000 50 192078 158047691 19336 470516 158047673 19327 470507
0.466250 0.0253169 0.152707 0.0752907 0.0253169 0.152669 0.0752899 50000 50 130970 165787404 20000 493041 165787394 19995 493036
0.467500 0.0382467 0.226871 0.113459 0.0382467 0.226837 0.113458 50000 50 88156 168583836 20000 500105 168583830 19997 500102
0.468750 0.0561824 0.325998 0.166072 0.0561824 0.325982 0.166072 50000 50 61350 172339574 20000 509426 172339572 19999 509425
0.470000 0.07931 0.448019 0.233458 0.07931 0.447951 0.233457 50000 50 44641 177023838 20000 521090 177023832 19997 521087
0.471250 0.106806 0.578319 0.312294 0.106806 0.57829 0.312294 50000 50 34583 184683446 20000 540004 184683444 19999 540003
0.472500 0.139695 0.711997 0.403163 0.139695 0.711962 0.403163 50000 50 28090 196202074 20000 566243 196202072 19999 566242
0.473750 0.174979 0.832189 0.49783 0.174979 0.832189 0.497829 50000 50 24033 210263111 20000 598217 210263109 20000 598216
0.475000 0.206636 0.908637 0.577442 0.206636 0.908637 0.577441 50000 50 22011 227413438 20000 635504 227413436 20000 635503
