0.47 5 100000 104835 10000000000 5e-05 1.04835e-05
0.4705 13 100000 214129 10000000000 0.00013 2.14129e-05
0.471 16 100000 280111 10000000000 0.00016 2.80111e-05
0.4715 24 100000 467596 10000000000 0.00024 4.67596e-05
0.472 29 100000 515687 10000000000 0.00029 5.15687e-05
0.4725 55 100000 1060871 10000000000 0.00055 0.000106087
0.473 106 100000 1888803 10000000000 0.00106 0.00018888
0.4735 178 100000 3176441 10000000000 0.00178 0.000317644
0.474 258 100000 4574192 10000000000 0.00258 0.000457419
0.4745 401 100000 6880331 10000000000 0.00401 0.000688033
0.475 679 100000 12250668 10000000000 0.00679 0.00122507
0.4755 998 100000 17920539 10000000000 0.00998 0.00179205
0.476 1462 100000 26089076 10000000000 0.01462 0.00260891
0.4765 2091 100000 37413459 10000000000 0.02091 0.00374135
0.477 3068 100000 55181367 10000000000 0.03068 0.00551814
0.4775 4314 100000 79218743 10000000000 0.04314 0.00792187
0.478 5950 100000 111694538 10000000000 0.0595 0.0111695
0.4785 8049 100000 151843997 10000000000 0.08049 0.0151844
0.479 10694 100000 203162096 10000000000 0.10694 0.0203162
0.4795 14278 100000 273285376 10000000000 0.14278 0.0273285
0.48 18486 100000 361829680 10000000000 0.18486 0.036183
0.4805 23535 100000 467162592 10000000000 0.23535 0.0467163
0.481 29234 100000 593283012 10000000000 0.29234 0.0593283
0.4815 35489 100000 728567688 10000000000 0.35489 0.0728568
0.482 41989 100000 886232513 10000000000 0.41989 0.0886233
0.4825 49535 100000 1072551678 10000000000 0.49535 0.107255
0.483 56511 100000 1254772397 10000000000 0.56511 0.125477
0.4835 64136 100000 1471436938 10000000000 0.64136 0.147144
0.484 71248 100000 1686299740 10000000000 0.71248 0.16863
0.4845 77292 100000 1895081462 10000000000 0.77292 0.189508
0.485 82838 100000 2096928003 10000000000 0.82838 0.209693
