p BER FER BLER BER_EXP FER_EXP BLER_EXP n L f users_err frame_err block_err users_err_exp frame_err_exp block_err_exp
0.448750 1.6e-09 4e-05 8e-07 0 0 0 50000 50 200000 16 8 8 0 0 0
0.450000 1.4e-09 3.5e-05 7e-07 0 0 0 50000 50 200000 14 7 7 0 0 0
0.451250 1.2e-09 3e-05 6e-07 0 0 0 50000 50 200000 12 6 6 0 0 0
0.452500 2.8e-09 7e-05 1.4e-06 0 0 0 50000 50 200000 28 14 14 0 0 0
0.453750 1.2e-09 3e-05 6e-07 0 0 0 50000 50 200000 12 6 6 0 0 0
0.455000 2.4e-09 6e-05 1.2e-06 0 0 0 50000 50 200000 24 12 12 0 0 0
0.456250 6.253e-07 5e-05 3e-06 6.235e-07 5e-06 2.1e-06 50000 50 200000 6253 10 30 6235 1 21
0.457500 2.9129e-06 6.5e-05 9.8e-06 2.9109e-06 1.5e-05 8.8e-06 50000 50 200000 29129 13 98 29109 3 88
0.458750 9.6841e-06 9.5e-05 2.98e-05 9.6823e-06 5e-05 2.89e-05 50000 50 200000 96841 19 298 96823 10 289
0.460000 2.37019e-05 0.000226667 7.40667e-05 2.36984e-05 0.00014 7.23333e-05 50000 50 300000 355528 68 1111 355476 42 1085
0.461250 3.74506e-05 0.0002 0.0001094 3.74498e-05 0.00018 0.000109 50000 50 100000 187253 20 547 187249 18 545
0.462500 0.000156162 0.00092 0.0004732 0.000156161 0.0009 0.0004728 50000 50 100000 780809 92 2366 780805 90 2364
0.463750 0.00035735 0.00222 0.001097 0.000357349 0.0022 0.0010966 50000 50 100000 1786749 222 5485 1786745 220 5483
0.465000 0.000781373 0.00523 0.0024434 0.000781372 0.00521 0.002443 50000 50 100000 3906865 523 12217 3906861 521 12215
0.466250 0.00156949 0.0113843 0.00500444 0.00156949 0.0113338 0.00500343 50000 50 99172 7782496 1129 24815 7782486 1124 24810
0.467500 0.003391 0.0256663 0.0109265 0.003391 0.025613 0.0109249 50000 50 75118 12736259 1928 41039 12736247 1924 41033
0.468750 0.00700736 0.053224 0.0225361 0.00700735 0.0531442 0.0225345 50000 50 37577 13165770 2000 42342 13165764 1997 42339
0.470000 0.0132437 0.0996661 0.042397 0.0132437 0.0995665 0.042395 50000 50 20067 13288104 2000 42539 13288100 1998 42537
0.471250 0.0233141 0.171174 0.0738908 0.0233141 0.171089 0.0738891 50000 50 11684 13620100 2000 43167 13620098 1999 43166
0.472500 0.0404244 0.271813 0.124561 0.0404244 0.271813 0.124561 50000 50 7358 14872154 2000 45826 14872154 2000 45826
0.473750 0.0620213 0.391926 0.187192 0.0620213 0.391926 0.187188 50000 50 5103 15824735 2000 47762 15824733 2000 47761
0.475000 0.0874159 0.521512 0.259437 0.0874159 0.521512 0.259437 50000 50 3835 16762008 2000 49747 16762008 2000 49747
0.476250 0.118578 0.64433 0.342893 0.118578 0.64433 0.342893 50000 50 3104 18403335 2000 53217 18403335 2000 53217
0.477500 0.153596 0.773096 0.434944 0.153596 0.773096 0.434944 50000 50 2587 19867596 2000 56260 19867596 2000 56260
0.478750 0.189094 0.862441 0.522053 0.189094 0.862441 0.522053 50000 50 2319 21925392 2000 60532 21925392 2000 60532
0.480000 0.220733 0.921659 0.597171 0.220733 0.921659 0.597171 50000 50 2170 23949544 2000 64793 23949544 2000 64793
0.481250 0.254856 0.964785 0.674462 0.254856 0.964785 0.674462 50000 50 2073 26415874 2000 69908 26415872 2000 69908
0.482500 0.283175 0.982318 0.73557 0.283175 0.982318 0.73557 50000 50 2036 28827176 2000 74881 28827176 2000 74881
0.483750 0.305145 0.994036 0.781183 0.305145 0.994036 0.781183 50000 50 2012 30697613 2000 78587 30697613 2000 78587
0.485000 0.327631 1 0.8277 0.327631 1 0.8277 50000 50 2000 32763137 2000 82770 32763137 2000 82770
