p BER FER BLER BER_EXP FER_EXP BLER_EXP n L f users_err frame_err block_err users_err_exp frame_err_exp block_err_exp
0.448750 1.6e-09 4e-05 8e-07 0 0 0 50000 50 200000 16 8 8 0 0 0
0.450000 1.6e-09 4e-05 8e-07 0 0 0 50000 50 200000 16 8 8 0 0 0
0.451250 2.471e-07 5e-05 2.1e-06 2.455e-07 1e-05 1.3e-06 50000 50 200000 2471 10 21 2455 2 13
0.452500 1.2269e-06 7.5e-05 8.5e-06 1.2255e-06 4e-05 7.8e-06 50000 50 200000 12269 15 85 12255 8 78
0.453750 9.0369e-06 0.00024 5.03e-05 9.0359e-06 0.000215 4.98e-05 50000 50 200000 90369 48 503 90359 43 498
0.455000 2.02351e-05 0.00046 0.0001021 2.02331e-05 0.00041 0.0001011 50000 50 200000 202351 92 1021 202331 82 1011
0.456250 4.6049e-05 0.00101 0.0002357 4.60476e-05 0.000975 0.000235 50000 50 200000 460490 202 2357 460476 195 2350
0.457500 0.000119911 0.002125 0.0005567 0.00011991 0.002105 0.0005563 50000 50 200000 1199113 425 5567 1199105 421 5563
0.458750 0.000260973 0.00428 0.0011595 0.000260972 0.004245 0.0011588 50000 50 200000 2609731 856 11595 2609717 849 11588
0.460000 0.00054732 0.00792247 0.00229204 0.000547318 0.00787575 0.00229111 50000 50 299654 8200331 2374 34341 8200303 2360 34327
0.461250 0.00111063 0.0147682 0.00447617 0.00111063 0.0147578 0.00447596 50000 50 95814 5320706 1415 21444 5320704 1414 21443
0.462500 0.00221038 0.0263603 0.00852617 0.00221038 0.0263467 0.0085259 50000 50 73292 8100154 1932 31245 8100152 1931 31244
0.463750 0.00363991 0.0433632 0.0139712 0.00363991 0.0433415 0.0139708 50000 50 46099 8389816 1999 32203 8389814 1998 32202
0.465000 0.00698652 0.0775224 0.0259964 0.00698652 0.0775224 0.0259964 50000 50 25799 9012264 2000 33534 9012264 2000 33534
0.466250 0.0123856 0.138504 0.0461011 0.0123856 0.138504 0.0461011 50000 50 14440 8942420 2000 33285 8942420 2000 33285
0.467500 0.0196877 0.22237 0.073549 0.0196877 0.222259 0.0735468 50000 50 8994 8853556 2000 33075 8853554 1999 33074
0.468750 0.0335802 0.354736 0.122054 0.0335802 0.354736 0.122054 50000 50 5638 9466262 2000 34407 9466262 2000 34407
0.470000 0.0514561 0.508388 0.181744 0.0514561 0.508388 0.181744 50000 50 3934 10121419 2000 35749 10121419 2000 35749
0.471250 0.0743568 0.685636 0.255598 0.0743568 0.685636 0.255598 50000 50 2917 10844936 2000 37279 10844936 2000 37279
0.472500 0.102739 0.831601 0.337131 0.102739 0.831601 0.337131 50000 50 2405 12354359 2000 40540 12354359 2000 40540
0.473750 0.130108 0.915751 0.407885 0.130108 0.915751 0.407885 50000 50 2184 14207765 2000 44541 14207765 2000 44541
0.475000 0.157314 0.968523 0.473424 0.157314 0.968523 0.473424 50000 50 2065 16242674 2000 48881 16242674 2000 48881
0.476250 0.186709 0.988631 0.539387 0.186709 0.988631 0.539387 50000 50 2023 18885577 2000 54559 18885577 2000 54559
0.477500 0.209184 0.996512 0.587135 0.209184 0.996512 0.587135 50000 50 2007 20991598 2000 58919 20991598 2000 58919
0.478750 0.237853 0.9995 0.649035 0.237853 0.9995 0.649035 50000 50 2001 23797235 2000 64936 23797235 2000 64936
0.480000 0.260442 1 0.69464 0.260442 1 0.69464 50000 50 2000 26044208 2000 69464 26044208 2000 69464
0.481250 0.280386 1 0.73538 0.280386 1 0.73538 50000 50 2000 28038565 2000 73538 28038565 2000 73538
0.482500 0.301209 1 0.77758 0.301209 1 0.77758 50000 50 2000 30120880 2000 77758 30120880 2000 77758
0.483750 0.317418 1 0.81 0.317418 1 0.81 50000 50 2000 31741758 2000 81000 31741758 2000 81000
0.485000 0.333088 1 0.83989 0.333088 1 0.83989 50000 50 2000 33308800 2000 83989 33308800 2000 83989
