0.46 0 1000 0 50000000 0 50000 0 0 0
0.4605 0 1000 0 50000000 0 50000 0 0 0
0.461 1 1000 3927 50000000 15 50000 0.001 7.854e-05 0.0003
0.4615 0 1000 0 50000000 0 50000 0 0 0
0.462 1 1000 4287 50000000 16 50000 0.001 8.574e-05 0.00032
0.4625 1 1000 4274 50000000 17 50000 0.001 8.548e-05 0.00034
0.463 0 1000 0 50000000 0 50000 0 0 0
0.4635 2 1000 13766 50000000 44 50000 0.002 0.00027532 0.00088
0.464 3 1000 29695 50000000 89 50000 0.003 0.0005939 0.00178
0.4645 1 1000 5476 50000000 19 50000 0.001 0.00010952 0.00038
0.465 4 1000 27668 50000000 89 50000 0.004 0.00055336 0.00178
0.4655 8 1000 79990 50000000 235 50000 0.008 0.0015998 0.0047
0.466 6 1000 38516 50000000 124 50000 0.006 0.00077032 0.00248
0.4665 13 1000 111933 50000000 329 50000 0.013 0.00223866 0.00658
0.467 16 1000 138698 50000000 421 50000 0.016 0.00277396 0.00842
0.4675 9 1000 58731 50000000 185 50000 0.009 0.00117462 0.0037
0.468 17 1000 134257 50000000 410 50000 0.017 0.00268514 0.0082
0.4685 31 1000 266585 50000000 794 50000 0.031 0.0053317 0.01588
0.46900000000000003 47 1000 420007 50000000 1241 50000 0.047 0.00840014 0.02482
0.46950000000000003 43 1000 370870 50000000 1099 50000 0.043 0.0074174 0.02198
0.47000000000000003 51 1000 531578 50000000 1519 50000 0.051 0.0106316 0.03038
0.47050000000000003 65 1000 634694 50000000 1830 50000 0.065 0.0126939 0.0366
0.47100000000000003 98 1000 908771 50000000 2639 50000 0.098 0.0181754 0.05278
0.47150000000000003 114 1000 1104069 50000000 3194 50000 0.114 0.0220814 0.06388
0.47200000000000003 125 1000 1109555 50000000 3267 50000 0.125 0.0221911 0.06534
0.47250000000000003 158 1000 1439823 50000000 4212 50000 0.158 0.0287965 0.08424
0.47300000000000003 235 1000 2252053 50000000 6520 50000 0.235 0.0450411 0.1304
0.47350000000000003 252 1000 2438672 50000000 7022 50000 0.252 0.0487734 0.14044
0.47400000000000003 293 1000 2881112 50000000 8227 50000 0.293 0.0576222 0.16454
0.47450000000000003 309 1000 3024028 50000000 8650 50000 0.309 0.0604806 0.173
0.47500000000000003 325 1000 3159574 50000000 9061 50000 0.325 0.0631915 0.18122
0.47550000000000003 389 1000 3819306 50000000 10883 50000 0.389 0.0763861 0.21766
0.47600000000000003 451 1000 4688312 50000000 13166 50000 0.451 0.0937662 0.26332
0.47650000000000003 509 1000 5609348 50000000 15543 50000 0.509 0.112187 0.31086
0.47700000000000004 530 1000 5830884 50000000 16155 50000 0.53 0.116618 0.3231
0.47750000000000004 598 1000 6679084 50000000 18439 50000 0.598 0.133582 0.36878
0.47800000000000004 692 1000 7927430 50000000 21707 50000 0.692 0.158549 0.43414
0.47850000000000004 706 1000 8348382 50000000 22736 50000 0.706 0.166968 0.45472
0.47900000000000004 743 1000 8957781 50000000 24230 50000 0.743 0.179156 0.4846
0.47950000000000004 811 1000 9961223 50000000 26857 50000 0.811 0.199224 0.53714
0.48000000000000004 802 1000 9974603 50000000 26781 50000 0.802 0.199492 0.53562
