p BER FER BLER BER_EXP FER_EXP BLER_EXP n L f users_err frame_err block_err users_err_exp frame_err_exp block_err_exp
0.448750 2.6e-09 6.5e-05 1.3e-06 2e-10 5e-06 1e-07 50000 50 200000 26 13 13 2 1 1
0.450000 6.319e-07 0.0001 6.3e-06 6.289e-07 2.5e-05 4.8e-06 50000 50 200000 6319 20 63 6289 5 48
0.451250 4.1402e-06 0.00013 2.43e-05 4.139e-06 0.0001 2.37e-05 50000 50 200000 41402 26 243 41390 20 237
0.452500 9.8491e-06 0.00029 5.42e-05 9.8463e-06 0.00022 5.28e-05 50000 50 200000 98491 58 542 98463 44 528
0.453750 2.73168e-05 0.00055 0.0001288 2.7314e-05 0.00048 0.0001274 50000 50 200000 273168 110 1288 273140 96 1274
0.455000 6.36892e-05 0.001035 0.0002796 6.3688e-05 0.001005 0.000279 50000 50 200000 636892 207 2796 636880 201 2790
0.456250 0.000131552 0.001975 0.0005637 0.00013155 0.001945 0.0005631 50000 50 200000 1315516 395 5637 1315504 389 5631
0.457500 0.000259699 0.00361 0.0010701 0.000259698 0.00357 0.0010693 50000 50 200000 2596991 722 10701 2596975 714 10693
0.458750 0.000533502 0.00722 0.0021748 0.000533499 0.00716 0.0021736 50000 50 200000 5335017 1444 21748 5334993 1432 21736
0.460000 0.00102091 0.0137818 0.00415388 0.0010209 0.0137143 0.00415246 50000 50 296624 15141248 4088 61607 15141206 4068 61586
0.461250 0.00195886 0.0277687 0.00811744 0.00195885 0.0276976 0.00811602 50000 50 70367 6891939 1954 28560 6891929 1949 28555
0.462500 0.00377169 0.0568473 0.016011 0.00377169 0.0567904 0.0160099 50000 50 35182 6634788 2000 28165 6634784 1998 28163
0.463750 0.00758462 0.116469 0.0325425 0.00758462 0.116469 0.0325425 50000 50 17172 6512155 2000 27941 6512155 2000 27941
0.465000 0.0143526 0.213881 0.0607443 0.0143526 0.213774 0.0607422 50000 50 9351 6710556 2000 28401 6710554 1999 28400
0.466250 0.0243724 0.364365 0.103287 0.0243724 0.364365 0.103287 50000 50 5489 6689002 2000 28347 6689002 2000 28347
0.467500 0.0403878 0.539811 0.162229 0.0403878 0.539271 0.162219 50000 50 3705 7481848 2000 30053 7481844 1998 30051
0.468750 0.0622844 0.722543 0.235412 0.0622844 0.722543 0.235412 50000 50 2768 8620157 2000 32581 8620157 2000 32581
0.470000 0.0830404 0.839983 0.296287 0.0830404 0.839983 0.296287 50000 50 2381 9885959 2000 35273 9885959 2000 35273
0.471250 0.108781 0.933707 0.36564 0.108781 0.933707 0.36564 50000 50 2142 11650397 2000 39160 11650397 2000 39160
0.472500 0.135117 0.97371 0.428374 0.135117 0.97371 0.428374 50000 50 2054 13876542 2000 43994 13876542 2000 43994
0.473750 0.160856 0.992063 0.48623 0.160856 0.992063 0.48623 50000 50 2016 16214276 2000 49012 16214276 2000 49012
0.475000 0.180454 0.9995 0.529355 0.180454 0.9995 0.529355 50000 50 2001 18054426 2000 52962 18054426 2000 52962
0.476250 0.2047 0.999001 0.57954 0.2047 0.999001 0.57954 50000 50 2002 20490513 2000 58012 20490513 2000 58012
0.477500 0.231801 1 0.63789 0.231801 1 0.63789 50000 50 2000 23180053 2000 63789 23180053 2000 63789
0.478750 0.250757 1 0.67655 0.250757 1 0.67655 50000 50 2000 25075685 2000 67655 25075685 2000 67655
0.480000 0.269234 1 0.71504 0.269234 1 0.71504 50000 50 2000 26923399 2000 71504 26923399 2000 71504
0.481250 0.289388 1 0.75597 0.289388 1 0.75597 50000 50 2000 28938756 2000 75597 28938756 2000 75597
0.482500 0.306241 1 0.78899 0.306241 1 0.78899 50000 50 2000 30624082 2000 78899 30624082 2000 78899
0.483750 0.324774 1 0.82591 0.324774 1 0.82591 50000 50 2000 32477379 2000 82591 32477379 2000 82591
0.485000 0.336813 1 0.84851 0.336813 1 0.84851 50000 50 2000 33681262 2000 84851 33681262 2000 84851
