# epsilon fer
4.550000000000000155e-01 1.579022087841330801e-03
4.575000000000000178e-01 4.850903132197159628e-03
4.600000000000000200e-01 1.388929344391398590e-02
4.625000000000000222e-01 3.838815922204508180e-02
4.650000000000000244e-01 1.128861019908312668e-01
4.675000000000000266e-01 3.148033514462744709e-01
4.699999999999999734e-01 6.509354092410720716e-01
4.724999999999999756e-01 8.871951010810844584e-01
