# epsilon fer
4.550000000000000155e-01 1.619910202855789905e-03
4.575000000000000178e-01 4.996287921345543559e-03
4.600000000000000200e-01 1.554769770576180932e-02
4.625000000000000222e-01 6.051507324042060265e-02
4.650000000000000244e-01 2.383639022573124100e-01
4.675000000000000266e-01 5.691438182709985805e-01
4.699999999999999734e-01 8.625635198719364682e-01
4.724999999999999756e-01 9.707665660240047956e-01
