p BER FER BLER BER_EXP FER_EXP BLER_EXP n L f users_err frame_err block_err users_err_exp frame_err_exp block_err_exp
0.453750 0.000232731 0.00164 0.0007353 0.00023273 0.001615 0.0007348 50000 50 200000 2327309 328 7353 2327299 323 7348
0.455000 0.00042627 0.00316 0.0013565 0.000426268 0.003095 0.0013552 50000 50 200000 4262704 632 13565 4262678 619 13552
0.456250 0.000863337 0.00668 0.0028166 0.000863336 0.00664 0.0028158 50000 50 200000 8633373 1336 28166 8633357 1328 28158
0.457500 0.00166908 0.01347 0.0054925 0.00166908 0.013425 0.0054916 50000 50 200000 16690789 2694 54925 16690771 2685 54916
0.458750 0.00332009 0.029505 0.0113691 0.00332009 0.0294 0.011367 50000 50 200000 33200899 5901 113691 33200857 5880 113670
0.460000 0.00653761 0.061105 0.0228884 0.00653761 0.06105 0.0228873 50000 50 200000 65376117 12221 228884 65376095 12210 228873
0.461250 0.0125669 0.120679 0.0446756 0.0125669 0.120643 0.0446747 50000 50 165530 104010008 19976 369758 104009992 19970 369750
0.462500 0.0228977 0.217673 0.0815141 0.0228977 0.217608 0.0815128 50000 50 91881 105193204 20000 374480 105193192 19994 374474
0.463750 0.0395936 0.354698 0.138742 0.0395936 0.354627 0.13874 50000 50 56386 111626182 20000 391154 111626174 19996 391150
0.465000 0.0621233 0.517317 0.213666 0.0621233 0.517317 0.213666 50000 50 38661 120087525 20000 413028 120087525 20000 413028
0.466250 0.0912742 0.684744 0.304782 0.0912742 0.684744 0.304782 50000 50 29208 133296878 20000 445104 133296878 20000 445104
0.467500 0.124593 0.819807 0.400078 0.124593 0.819807 0.400077 50000 50 24396 151977943 20000 488015 151977941 20000 488014
0.468750 0.157226 0.91083 0.48741 0.157226 0.91083 0.48741 50000 50 21958 172618382 20000 535127 172618382 20000 535127
0.470000 0.187632 0.964181 0.562118 0.187632 0.964181 0.562117 50000 50 20743 194602996 20000 583001 194602994 20000 583000
0.471250 0.214452 0.987411 0.623271 0.214452 0.987411 0.623271 50000 50 20255 217186253 20000 631218 217186253 20000 631218
0.472500 0.239753 0.996761 0.677634 0.239753 0.996761 0.677634 50000 50 20065 240531759 20000 679836 240531759 20000 679836
0.473750 0.25876 0.999051 0.716688 0.25876 0.999051 0.716687 50000 50 20019 259005454 20000 717369 259005452 20000 717368
0.475000 0.275725 0.99985 0.750036 0.275725 0.99985 0.750035 50000 50 20003 275766825 20000 750149 275766823 20000 750148
