# epsilon fer
4.550000000000000155e-01 1.698488453655389030e-03
4.575000000000000178e-01 7.186114849062841259e-03
4.600000000000000200e-01 4.910854615565618531e-02
4.625000000000000222e-01 2.482011914320938484e-01
4.650000000000000244e-01 6.132977487834934127e-01
4.675000000000000266e-01 8.780731972222181048e-01
4.699999999999999734e-01 9.789895507238849381e-01
4.724999999999999756e-01 9.971509494050549982e-01
